Length,Entropy,Vowel,Consonant,Special,V Con,C Vow,Lines,State
672,4.753511041604023,180,295,197,0.6101694915254238,1.6388888888888888,20,0
3608,4.927651942057611,906,1709,993,0.5301345816266823,1.8863134657836644,100,0
260,4.801563310576465,84,121,55,0.6942148760330579,1.4404761904761905,5,0
1365,4.978484791737733,338,534,493,0.6329588014981273,1.5798816568047338,65,0
13710,3.2617166307814243,1591,2417,9702,0.658254033926355,1.5191703331238215,410,0
3983,5.158647967914254,1138,1897,948,0.5998945703742752,1.6669595782073814,95,0
14627,4.54848011301284,3516,5769,5342,0.609464378575143,1.6407849829351535,348,0
15944,3.500646365040102,1765,3267,10912,0.5402509947964493,1.8509915014164307,480,0
2543,4.9057208438724205,703,1135,705,0.6193832599118942,1.6145092460881934,73,0
109,4.4891302287929555,34,55,20,0.6181818181818182,1.6176470588235294,5,0
105,5.137543577748235,23,46,36,0.5,2.0,4,0
1798,5.2225023213787685,361,804,633,0.4490049751243781,2.227146814404432,53,0
4772,5.167936065937478,1380,2160,1232,0.6388888888888888,1.565217391304348,110,0
8025,6.023293649028787,1478,5020,1527,0.2944223107569721,3.3964817320703653,151,0
523,4.729185236699069,163,261,99,0.6245210727969349,1.6012269938650308,8,0
471,4.697991088099189,101,204,166,0.4950980392156863,2.01980198019802,13,0
40092,5.141120744630122,10658,17910,11524,0.5950865438302624,1.6804278476261962,1526,0
154187,5.185719535844745,39296,66011,48880,0.5952947236066716,1.679840187296417,4495,0
1082,4.881512177168475,257,487,338,0.5277207392197125,1.894941634241245,33,0
3178,3.42996334570429,365,686,2127,0.532069970845481,1.8794520547945206,84,0
2006,4.544253461871723,513,815,678,0.6294478527607362,1.5886939571150098,45,0
2772,4.724541353052323,722,1151,899,0.6272806255430061,1.5941828254847645,57,0
2092,4.948896582092236,450,758,884,0.5936675461741425,1.6844444444444444,50,0
4168,4.8659724413683465,1124,1786,1258,0.6293393057110862,1.5889679715302492,86,0
45364,5.208670417655144,9625,18137,17602,0.5306831339251254,1.8843636363636365,1885,0
8426,4.9840960261836,1809,3250,3367,0.5566153846153846,1.7965726920950802,169,0
748,4.785558618582733,209,353,186,0.5920679886685553,1.6889952153110048,27,0
4091,4.133433344969193,777,1273,2041,0.6103692065985861,1.6383526383526383,80,0
2890,4.89920882104818,790,1216,884,0.649671052631579,1.539240506329114,74,0
4570,3.407085066326368,505,1001,3064,0.5044955044955045,1.9821782178217822,112,0
1233,5.044552982049576,335,599,299,0.5592654424040067,1.7880597014925372,28,0
3122,4.891447666364536,737,1392,993,0.5294540229885057,1.8887381275440978,73,0
1123,4.393143930356145,246,413,464,0.5956416464891041,1.6788617886178863,78,0
7117,4.832467241952698,1772,2929,2416,0.6049846363946739,1.6529345372460496,231,0
20590,4.6078040956292,4083,7361,9146,0.5546800706425757,1.8028410482488366,577,0
5777,4.460722802179861,1397,2158,2222,0.6473586654309545,1.544738725841088,239,0
205,4.5199641179522105,52,113,40,0.46017699115044247,2.173076923076923,7,0
204,5.159148715410482,43,85,76,0.5058823529411764,1.9767441860465116,3,0
5389,5.228228998082818,1359,2370,1660,0.5734177215189873,1.7439293598233996,144,0
1000,4.99934795888581,289,463,248,0.6241900647948164,1.602076124567474,31,0
5608,5.2184433072026675,1415,2398,1795,0.5900750625521268,1.6946996466431095,152,0
59480,3.7296734351080776,6621,15106,37753,0.43830266119422745,2.2815284700196345,1444,0
2052,4.56719930976733,501,787,764,0.636594663278272,1.5708582834331337,81,0
1668,4.950036218684747,383,729,556,0.5253772290809328,1.9033942558746737,52,0
1578,4.5873781215518665,376,614,588,0.6123778501628665,1.6329787234042554,67,0
8268,3.31148055294215,1030,1786,5452,0.5767077267637178,1.7339805825242718,223,0
2606,4.652390790726251,647,1020,939,0.634313725490196,1.5765069551777435,98,0
2294,4.587352103436864,571,876,847,0.6518264840182648,1.5341506129597198,90,0
2355,4.582598013024173,585,896,874,0.6529017857142857,1.5316239316239317,89,0
1082,4.703653858790904,275,422,385,0.6516587677725119,1.5345454545454544,28,0
1673,4.600906414043346,396,624,653,0.6346153846153846,1.5757575757575757,74,0
7107,5.164113920070376,1759,3023,2325,0.581872312272577,1.718590108015918,189,0
5475,5.23621071327179,1372,2367,1736,0.5796366708914238,1.7252186588921283,154,0
1966,4.73638418677783,495,776,695,0.6378865979381443,1.5676767676767678,82,0
1662,4.692728000597289,406,641,615,0.6333853354134166,1.5788177339901477,73,0
2282,4.973056968177034,573,1013,696,0.5656465942744324,1.7678883071553229,73,0
1381,4.925565290090254,353,642,386,0.5498442367601246,1.8186968838526911,56,0
1773,5.00749044166383,489,782,502,0.6253196930946292,1.5991820040899796,58,0
1782,5.001792999608513,496,787,499,0.6302414231257941,1.5866935483870968,58,0
1795,5.031033119101819,487,796,512,0.6118090452261307,1.6344969199178645,58,0
6101,4.248882431838401,1327,2104,2670,0.6307034220532319,1.5855312735493594,155,0
4663,4.4194860003595,1061,1725,1877,0.615072463768116,1.6258246936852025,116,0
5258,4.500518077658255,1301,1978,1979,0.6577350859453994,1.520368946963874,125,0
3784,4.633940626391761,870,1404,1510,0.6196581196581197,1.6137931034482758,102,0
3659,4.474021966696131,829,1282,1548,0.6466458658346333,1.546441495778046,103,0
2233,4.594625443179969,505,815,913,0.6196319018404908,1.613861386138614,73,0
2483,4.614000024784125,643,971,869,0.6622039134912462,1.510108864696734,70,0
2714,4.593908789050964,655,1036,1023,0.6322393822393823,1.581679389312977,73,0
5843,4.576916348303928,1478,2244,2121,0.6586452762923352,1.5182679296346413,144,0
4678,4.835982502068733,1120,1703,1855,0.6576629477392836,1.5205357142857143,118,0
3476,4.512202172234626,716,1297,1463,0.5520431765612953,1.8114525139664805,117,0
8143,5.135248746055724,2257,3819,2067,0.5909924063891071,1.6920691182986265,204,0
381,5.196482814331362,95,192,94,0.4947916666666667,2.0210526315789474,18,0
1828,4.601517379528736,461,677,690,0.6809453471196455,1.4685466377440346,75,0
16899,4.733343111407594,4138,7178,5583,0.5764837001950404,1.734654422426293,302,0
1403,4.908849245356053,362,630,411,0.5746031746031746,1.7403314917127073,39,0
141,5.04699166718541,40,62,39,0.6451612903225806,1.55,2,0
1768,4.614967518320786,432,673,663,0.6419019316493314,1.5578703703703705,73,0
49,4.222080640900361,10,18,21,0.5555555555555556,1.8,4,0
554,4.5158037982698325,115,212,227,0.5424528301886793,1.8434782608695652,27,0
84768,3.594361892255477,8618,18780,57370,0.45889243876464325,2.179159897888141,1880,0
215452,3.6575237268186047,27874,51533,136045,0.5408961248132265,1.8487838128722107,5752,0
18670,3.93085104141028,1684,6047,10939,0.2784851992723665,3.590855106888361,292,0
2154,4.615285149435349,508,849,797,0.5983510011778563,1.671259842519685,86,0
4946,4.868640568048737,1169,2072,1705,0.5641891891891891,1.7724550898203593,144,0
8111,4.362155868322784,1687,2979,3445,0.5662974152400134,1.7658565500889152,229,0
10095,4.261298182039714,2043,3488,4564,0.5857224770642202,1.7072931962799804,313,0
1757,4.6328816134835895,430,674,653,0.6379821958456974,1.5674418604651164,74,0
2401,4.763614034367031,515,937,949,0.5496264674493063,1.8194174757281554,69,0
5980,4.9044108982832455,1531,2494,1955,0.6138732959101845,1.6290006531678642,163,0
11875,4.390670674389667,2535,4094,5246,0.6191988275525159,1.614990138067061,286,0
3725,4.808776995040161,926,1424,1375,0.6502808988764045,1.5377969762419006,108,0
4316,4.788638547139771,1076,1952,1288,0.5512295081967213,1.8141263940520447,101,0
8035,4.507803718972008,2073,3167,2795,0.6545626776128829,1.5277375783888085,240,0
9646,4.623105337573959,2461,3811,3374,0.6457622671214904,1.5485574969524583,256,0
2309,4.5323496279607705,580,875,854,0.6628571428571428,1.5086206896551724,87,0
2523,4.609316774812025,631,952,940,0.6628151260504201,1.508716323296355,95,0
1762,4.596871664603361,421,656,685,0.6417682926829268,1.5581947743467934,76,0
6686,4.504881451761343,1721,2712,2253,0.6345870206489675,1.5758280069726902,190,0
1838,4.734245614854727,463,719,656,0.6439499304589708,1.5529157667386608,75,0
2213,5.149577068122845,579,936,698,0.6185897435897436,1.616580310880829,66,0
3809,5.248471974350985,1062,1651,1096,0.6432465172622653,1.554613935969868,112,0
2259,5.137947992758962,546,1034,679,0.528046421663443,1.8937728937728937,65,0
1441,4.850624634362055,369,660,412,0.5590909090909091,1.7886178861788617,40,0
2967,3.882663860985839,454,839,1674,0.5411203814064363,1.8480176211453745,84,0
6446,4.259014952471069,1344,2224,2878,0.60431654676259,1.6547619047619047,216,0
2126,5.089828774624713,613,941,572,0.6514346439957492,1.535073409461664,68,0
381,4.916169127268664,110,181,90,0.6077348066298343,1.6454545454545455,11,0
196,4.470584673870072,40,71,85,0.5633802816901409,1.775,8,0
262,4.619478521847239,70,131,61,0.5343511450381679,1.8714285714285714,5,0
2300,4.675105239346089,584,918,798,0.6361655773420479,1.571917808219178,87,0
10440,4.542430894047939,2699,4205,3536,0.6418549346016647,1.557984438680993,307,0
4741,4.694299505863557,1171,1977,1593,0.5923115832068792,1.6883005977796754,151,0
3944,5.192371286802218,890,1640,1414,0.5426829268292683,1.8426966292134832,128,0
7552,3.558442748152813,872,1463,5217,0.5960355434039645,1.6777522935779816,224,0
398,4.6833059472151595,119,203,76,0.5862068965517241,1.7058823529411764,10,0
527,4.827270608270067,147,242,138,0.6074380165289256,1.6462585034013606,11,0
1041,4.967296714121532,278,461,302,0.6030368763557483,1.658273381294964,43,0
91,4.822823048030254,27,40,24,0.675,1.4814814814814814,2,0
54,4.403151975132155,16,31,7,0.5161290322580645,1.9375,2,0
425,4.9766025158712335,118,234,73,0.5042735042735043,1.9830508474576272,9,0
267,4.809648413860374,66,145,56,0.45517241379310347,2.196969696969697,9,0
407,4.822581632968997,112,214,81,0.5233644859813084,1.9107142857142858,9,0
2187,5.0770287933197675,609,1015,563,0.6,1.6666666666666667,47,0
7186,5.086223910212395,1741,3034,2411,0.5738299274884641,1.742676622630672,247,0
116,4.761150095661664,41,60,15,0.6833333333333333,1.4634146341463414,2,0
686,5.005747150784141,191,304,191,0.6282894736842105,1.5916230366492146,31,0
918,4.833119282869571,252,456,210,0.5526315789473685,1.8095238095238095,10,0
12144,4.729015792858531,2378,4271,5495,0.5567782720674315,1.7960470984020185,346,0
1788,4.851240812977361,463,789,536,0.5868187579214195,1.7041036717062634,48,0
507,5.070409214293435,145,259,103,0.5598455598455598,1.7862068965517242,4,0
2501,4.905176843597055,644,1093,764,0.5892040256175664,1.6972049689440993,75,0
377,4.731527634122388,121,205,51,0.5902439024390244,1.6942148760330578,9,0
382,4.751805537411683,122,209,51,0.583732057416268,1.7131147540983607,9,0
372,4.732890773566086,118,203,51,0.5812807881773399,1.7203389830508475,9,0
377,4.769366547610933,119,207,51,0.5748792270531401,1.7394957983193278,9,0
749,5.271764940891849,196,326,227,0.6012269938650306,1.663265306122449,43,0
61,4.91804164066424,10,30,21,0.3333333333333333,3.0,2,0
59,4.479355125303005,9,37,13,0.24324324324324326,4.111111111111111,2,0
56,4.2487082700014565,12,37,7,0.32432432432432434,3.0833333333333335,2,0
1411,5.17398465809503,375,716,320,0.5237430167597765,1.9093333333333333,35,0
190,4.972834938149312,54,98,38,0.5510204081632653,1.8148148148148149,3,0
1319,5.2300120498683675,331,641,347,0.516380655226209,1.9365558912386707,36,0
63436,3.464644152876958,8356,13659,41421,0.611757815359836,1.6346337960746768,2090,0
5268,5.046914635440663,1333,2467,1468,0.5403323875152006,1.8507126781695424,124,0
3138,4.7175230681620555,678,1256,1204,0.5398089171974523,1.8525073746312684,63,0
3215,4.618442064625974,670,1173,1372,0.5711849957374254,1.7507462686567163,91,0
787,5.153080506495225,205,363,219,0.5647382920110193,1.7707317073170732,36,0
59462,4.717155992824555,14855,23496,21111,0.6322352740892067,1.5816896667788622,1714,0
5399,5.037028343966207,1404,2314,1681,0.6067415730337079,1.6481481481481481,216,0
9149,4.803530222603962,2135,3643,3371,0.5860554488059292,1.7063231850117095,312,0
3519,4.844277546813281,885,1477,1157,0.5991875423155044,1.6689265536723163,166,0
1313,4.913427603141044,322,584,407,0.5513698630136986,1.813664596273292,71,0
2837,4.786961844243733,605,1158,1074,0.5224525043177893,1.9140495867768594,116,0
3243,5.081951337545855,814,1456,973,0.5590659340659341,1.7886977886977886,117,0
4073,4.996501724610537,974,1775,1324,0.5487323943661971,1.822381930184805,171,0
4927,4.593182128087331,1098,1791,2038,0.6130653266331658,1.6311475409836065,161,0
4369,5.003362969765626,1095,1922,1352,0.5697190426638917,1.7552511415525114,179,0
5244,4.7644189628705815,1214,1981,2049,0.6128218071680969,1.6317957166392092,188,0
4210,4.780006732926417,989,1641,1580,0.6026812918951858,1.6592517694641051,156,0
3365,5.12848327428022,879,1540,946,0.5707792207792208,1.751990898748578,137,0
2437,5.097520139661725,648,1105,684,0.5864253393665159,1.7052469135802468,114,0
4469,4.650371921713259,1049,1797,1623,0.5837506956037841,1.713060057197331,190,0
4210,4.780006732926417,989,1641,1580,0.6026812918951858,1.6592517694641051,156,0
3657,4.862446474942303,887,1543,1227,0.5748541801685029,1.7395715896279593,162,0
4222,4.846133735972822,1053,1777,1392,0.5925717501406865,1.687559354226021,178,0
7090,3.2767149867218306,818,1426,4846,0.573632538569425,1.743276283618582,260,0
2391,4.7127414937083705,561,984,846,0.5701219512195121,1.7540106951871657,122,0
6924,5.215335378275944,1938,2890,2096,0.6705882352941176,1.4912280701754386,190,0
16174,4.884829264283764,4246,6997,4931,0.6068314992139489,1.6479039095619405,402,0
7815,5.164124983521075,1781,3644,2390,0.48874862788144896,2.046041549691185,244,0
1232,4.746502722319563,364,610,258,0.5967213114754099,1.6758241758241759,40,0
23762,4.929914438624801,5784,9232,8746,0.6265164644714039,1.5961272475795298,620,0
26320,5.016902710607442,7107,11881,7332,0.5981819712145442,1.6717320951174899,714,0
3558,4.731689100055213,869,1498,1191,0.5801068090787717,1.7238204833141542,138,0
10521,4.2547915059087735,2099,3726,4696,0.5633387010198604,1.7751310147689376,259,0
4408,3.4768373780554915,675,1054,2679,0.6404174573055028,1.5614814814814815,96,0
5924,4.979892691068165,1708,2464,1752,0.6931818181818182,1.4426229508196722,111,0
5837,5.103628289188729,1659,2634,1544,0.6298405466970387,1.5877034358047015,105,0
5666,5.07162933397404,1527,2525,1614,0.6047524752475247,1.653569089718402,107,0
1018,3.45150469292914,136,232,650,0.5862068965517241,1.7058823529411764,38,0
4721,5.090668560192292,1100,1956,1665,0.5623721881390593,1.778181818181818,119,0
9934,4.966810700426981,2874,4728,2332,0.6078680203045685,1.6450939457202505,123,0
6704,3.327793072054728,877,1362,4465,0.643906020558003,1.5530216647662485,208,0
1205,5.04991511285907,313,507,385,0.6173570019723866,1.6198083067092652,37,0
4139,4.357616718421828,789,1307,2043,0.603672532517215,1.6565272496831431,105,0
824,5.156414492905471,196,347,281,0.5648414985590778,1.7704081632653061,16,0
404,5.048806811377672,88,174,142,0.5057471264367817,1.9772727272727273,15,0
612,4.788797037841069,171,284,157,0.602112676056338,1.6608187134502923,13,0
3245,4.353053423208698,648,1055,1542,0.614218009478673,1.6280864197530864,96,0
1244,4.896623742713705,353,522,369,0.6762452107279694,1.4787535410764872,47,0
6746,4.191165771857792,1140,1927,3679,0.5915931499740529,1.6903508771929825,155,0
529,4.822029700721967,146,231,152,0.6320346320346321,1.582191780821918,23,0
8537,4.520998505847463,1899,2875,3763,0.6605217391304348,1.5139547130068458,218,0
20238,5.0658668346513345,5112,9311,5815,0.5490280313607561,1.8214006259780908,676,0
4658,5.900234697730998,848,2619,1191,0.3237877052310042,3.088443396226415,40,0
10569,5.3938655329874,1941,4214,4414,0.4606074988134789,2.1710458526532714,189,0
1325,4.958038407720314,299,612,414,0.48856209150326796,2.0468227424749164,64,0
7482,5.007711422083271,1526,2685,3271,0.5683426443202979,1.7595019659239843,156,0
4384,4.545656937545559,1064,1672,1648,0.6363636363636364,1.5714285714285714,121,0
194,4.50889439816871,57,89,48,0.6404494382022472,1.5614035087719298,6,0
1017,4.859929470973027,214,405,398,0.528395061728395,1.8925233644859814,47,0
7721,5.02127933005281,1993,3406,2322,0.585143863769818,1.708981435022579,233,0
91,4.332024672514162,26,47,18,0.5531914893617021,1.8076923076923077,6,0
816,4.650739380784997,204,340,272,0.6,1.6666666666666667,29,0
347,4.760362435677719,92,170,85,0.5411764705882353,1.8478260869565217,10,0
5544,4.904170722438899,1290,2250,2004,0.5733333333333334,1.744186046511628,168,0
1785,5.145749933226761,476,729,580,0.6529492455418381,1.531512605042017,65,0
101,4.6308279658830855,24,39,38,0.6153846153846154,1.625,9,0
297,5.154333052876491,72,133,92,0.5413533834586466,1.8472222222222223,12,0
66,4.902211119581878,13,29,24,0.4482758620689655,2.230769230769231,2,0
